a	A
chiffon	S i f O~
chiffre	S i f R
chiffrement	S i f R @ m A~
chiffrer	S i f R e
chiffres	S i f R
chignon	S i J O~
chilien	S i l j E~
chimie	S i m i
chimique	S i m i k
chimiste	S i m i s t
chimpanzé	S E~ p A~ z e
chimère	S i m E R
chinois	S i n w a
chiot	S j o
chips	S i p s
chirurgical	S i R y R Z i k a l
chirurgie	S i R y R Z i
chirurgien	S i R y R Z j E~
chitine	k i t i n
chlore	k l O R
chloroforme	k l O R O f O R m
chlorophylle	k l O R O f i l
chlorose	k l O R o z
choc	S O k
chocolat	S O k O l a
choir	S w a R
choisir	S w a z i R
choix	S w a
choléra	k O l e R a
choquer	S O k e
chorale	k O r a l
chorus	k O R y s
chorégraphe	k O R e g R a f
chorégraphes	k O R e g R a f
chorégraphie	k O R e g R a f i
chorégraphies	k O R e g R a f i
chorégraphique	k O R e g R a f i k
chorégraphiques	k O R e g R a f i k
chose	S o z
choses	S o z
chott	S O t
chou	S u
chouchou	S u S u
choucroute	S u k R u t
chouette	S w E t
christianisme	k R i s t j a n i s m
chrome	k R o m
chromosome	S R O m o z O m
chronique	k R O n i k
chrono	k r O n O
chronologie	k R O n O l O Z i
chronologies	k R O n O l O Z i
chronomètre	k R O n O m E t R
chronos	k r O n O
chrysalide	k R i z a l i d
chrysanthème	k R i z A~ t E m
chrétien	k R e t j E~
chrétienne	k R e t j E n
chrétienté	k R e t j E~ t e
chu	S y
chum	tS O m
chute	S y t
chypriote	S i p R i j O t
châsse	S A s
châssis	S A s i
châtaigne	S A t E J
châtaigneraie	S A t E J R E
châtaignes	S A t E J
châtaignier	S A t E J e
châtaigniers	S A t E J e
châtain	S A t E~
château	S A t o
châtelain	S A t l E~
châtelet	S A t l E
châtellenie	S A t E l n i
châtiment	S A t i m A~
chèque	S E k
chère	S E R
chères	S E R
chèvre	S E v R
chèvrefeuille	S E v R @ f 9 j
chéri	S e R i
chérie	S e R i
chênaie	S E n E
chêne	S E n
chômage	S o m a Z
ci	s i
ciblant	s i b l A~
cible	s i b l
cibler	s i b l e
ciblé	s i b l e
ciboulette	s i b u l E t
cicatrice	s i k a t R i s
cidre	s i d R
ciel	s j E l
cierge	s j E R Z
cieux	s j 2
cigale	s i g a l
cigales	s i g a l
cigare	s i g a R
cigarette	s i g a R E t
cigarettes	s i g a R E t
cigogne	s i g O J
cil	s i l
cime	s i m
ciment	s i m A~
cimes	s i m
cimetière	s i m t j E R
cingalais	s E~ g a l E
cinq	s E~ k
cinquantaine	s E~ k A~ t E n
cinquante	s E~ k A~ t
cinquantième	s E~ k A~ t j E m
cinquième	s E~ k j E m
cinquièmes	s E~ k j E m
cintre	s E~ t R
cintré	s E~ t R e
ciné	s i n e
cinéma	s i n e m a
cinémas	s i n e m a
cinématographie	s i n e m a t O g R a f i
cinématographique	s i n e m a t O g R a f i k
cinématographiques	s i n e m a t O g R a f i k
circoncision	s i R k O~ s i z j O~
circonflexe	s i R k O~ f l E k s
circonstance	s i R k O~ s t A~ s
circuit	s i R k H i
circulaire	s i R k y l E R
circulation	s i R k y l a s j O~
circuler	s i R k y l e
cire	s i R
cirque	s i R k
cirrhose	s i R o z
ciseau	s i z o
ciseaux	s i z o
citadin	s i t a d E~
citation	s i t a s j O~
citations	s i t a s j O~
citer	s i t e
citerne	s i t E R n
cithare	s i t a R
citoyen	s i t w a j E~
citoyenne	s i t w a j E n
citoyenneté	s i t w a j E n t e
citron	s i t R O~
citronnelle	s i t R O n E l
citrouille	s i t R u j
cité	s i t e
civil	s i v i l
civique	s i v i k
clair	k l E R
claire	k l E R
clairement	k l E R m A~
clairière	k l E R j E R
clairon	k l E R O~
clairvoyance	k l E R v w a j A~ s
clan	k l A~
clandestin	k l A~ d E s t E~
claque	k l a k
clarification	k l a R i f i k a s j O~
clarifier	k l a R i f j e
clarinette	k l a R i n E t
clarté	k l a R t e
classe	k l a s
classer	k l a s e
classique	k l a s i k
clavecin	k l a v s E~
clavicule	k l a v i k y l
clavier	k l a v j e
claviériste	k l a v j e R i s t
clef	k l e
clepsydre	k l E p s i d R
clerc	k l E R
clercs	k l E R
cliché	k l i S e
client	k l i j A~
clients	k l i j A~
clientèle	k l i j A~ t E l
climat	k l i m A
climatique	k l i m a t i k
clip	k l i p
clips	k l i p
clique	k l i k
cliquer	k l i k e
clitoris	k l i t O R i s
clochard	k l O S a R
cloche	k l O S
clocher	k l O S e
clocheton	k l O S t O~
clochette	k l O S E t
cloison	k l w a z O~
clone	k l o n
clore	k l O R
clos	k l o
clou	k l u
cloutier	k l u t j e
clown	k l u n
clowns	k l u n
cloître	k l w a t R
club	k l 9 b
clé	k l e
clémence	k l e m A~ s
clément	k l e m A~
clémentine	k l e m A~ t i n
cléricale	k l E R i k a l
clés	k l e
clôture	k l o t y R
coach	k o tS
coalition	k O a l i s j O~
cobalt	k O b a l t
cobaye	k O b a j
cobra	k O b R a
coca	k O k a
cocagne	k O k a J
coccinelle	k O k s i n E l
coccinelles	k O k s i n E l
coche	k O S
cochon	k O S O~
cochère	k O S E R
cocker	k O k 9 R
cocktail	k O k t E l
coco	k o k o
cocon	k O k O~
cocons	k O k O~
cocotier	k o k o t j e
cocotte	k O k O t
coda	k O d a
code	k O d
coder	k o d e
codex	k O d E k s
codification	k O d i f i k a s j O~
codon	k O d O~
coefficient	k O e f i s j A~
coexiste	k O E g z i s t
coexistent	k O E g z i s t
coexister	k O E g z i s t e
coffre	k O f R
coffret	k O f R E
cognac	k O J a k
cognassier	k O J a s j e
cogne	k O J
cognitif	k O g n i t i f
cohabitation	k O a b i t a s j O~
cohorte	k O O R t
cohérent	k O e R A~
coi	k w a
coiffe	k w a f
coiffeur	k w a f 9 R
coiffeuse	k w a f 2 z
coiffure	k w a f y R
coin	k w E~
coing	k w E~
coke	k O k
col	k O l
colchique	k O l S i k
colibri	k O l i b R i
colimaçon	k O l i m a s O~
colique	k O l i k
colis	k O l i
collaboratif	k O l a b O R a t i f
collaboration	k O l a b O R a s j O~
collaborations	k O l a b O R a s j O~
collage	k O l a Z
collant	k O l A~
colle	k O l
collecte	k O l E k t
collectif	k O l E k t i f
collectifs	k O l E k t i f
collection	k O l E k s j O~
collectionner	k O l E k s j O n e
collections	k O l E k s j O~
collectivité	k O l E k t i v i t e
collectivités	k O l E k t i v i t e
coller	k O l e
collerette	k O l R E t
collet	k O l E
collier	k O l j e
colline	k O l i n
collision	k O l i z j O~
colloque	k O l O k
colloques	k O l O k
collège	k O l E Z
collègue	k O l E g
collégial	k O l e Z j a l
collégiale	k O l e Z j a l
collégiales	k O l e Z j a l
colocataire	k O l O k a t E R
colombe	k O l O~ b
colombien	k O l O~ b j E~
colon	k O l O~
colonel	k O l O n E l
colonial	k O l O n j a l
colonie	k O l O n i
colonisation	k O l O n i z a s j O~
colonnade	k O l O n a d
colonne	k O l O n
colorer	k O l O R e
colorimétrique	k O l O R i m e t R i k
coloris	k O l O R i
colossal	k O l O s a l
colza	k O l z a
colère	k O l E R
coléoptère	k O l e O p t E R
colérique	k O l e R i k
combat	k O~ b a
combatif	k O~ b a t i f
combattant	k O~ b a t A~
combattante	k O~ b a t A~ t
combattantes	k O~ b a t A~ t
combattants	k O~ b a t A~
combattre	k O~ b a t R
combe	k O~ b
combien	k O~ b j E~
combinaison	k O~ b i n E z O~
combinatoire	k O~ b i n a t w a R
combinatoires	k O~ b i n a t w a R
combiner	k O~ b i n e
combiné	k O~ b i n e
comble	k O~ b l
combler	k O~ b l e
combles	k O~ b l
comblé	k O~ b l e
comblée	k O~ b l e
comblées	k O~ b l e
comblés	k O~ b l e
combustion	k O~ b y s t j O~
comique	k O m i k
comiques	k O m i k
comité	k O m i t e
commandant	k O m A~ d A~
commande	k O m A~ d
commandement	k O m A~ d m A~
commander	k O m A~ d e
commanditaire	k O m A~ d i t E R
commando	k O m A~ d o
comme	k O m
commencement	k O m A~ s m A~
commencer	k O m A~ s e
comment	k O m A~
commentaire	k O m A~ t E R
commentaires	k O m A~ t E R
commentateur	k O m A~ t a t 9 R
commenter	k O m A~ t e
commençant	k O m A~ s A~
commerce	k O m E R s
commercer	k O m E R s e
commercial	k O m E R s j a l
commerciale	k O m E R s j a l
commerciales	k O m E R s j a l
commercialisation	k O m E R s j a l i z a s j O~
commerciaux	k O m E R s j o
commerçant	k O m E R s A~
commettre	k O m E t R
commis	k O m i
commissariat	k O m i s a R j a
commission	k O m i s j O~
commode	k O m O d
commodore	k O m O d O R
commun	k O m E~
communal	k O m y n a l
communauté	k O m y n o t e
communautés	k O m y n O t e
commune	k O m y n
communication	k O m y n i k a s j O~
communion	k O m y n j O~
communiquer	k O m y n i k e
communisme	k O m y n i s m
communiste	k O m y n i s t
communément	k O m y n e m A~
commutatif	k O m y t a t i f
commémorer	k O m e m O R e
compact	k O~ p a k t
compagne	k O~ p a J
compagnie	k O~ p a J i
compagnies	k O~ p a J i
compagnon	k O~ p a J O~
comparable	k O~ p a R a b l
comparaison	k O~ p a R E z O~
comparatif	k O~ p a R a t i f
comparaître	k O~ p a R E t R
comparer	k O~ p a R e
compartiment	k O~ p a R t i m A~
compas	k O~ p a
compassion	k O~ p a s j O~
compenser	k O~ p A~ s e
compilateur	k O~ p i l a t 9 R
compilation	k O~ p i l a s j O~
compiler	k O~ p i l e
complaisance	k O~ p l E z A~ s
complet	k O~ p l E
complexe	k O~ p l E k s
complexité	k O~ p l E k s i t e
complication	k O~ p l i k a s j O~
complications	k O~ p l i k a s j O~
compliquer	k O~ p l i k e
complot	k O~ p l o
complètement	k O~ p l E t m A~
complément	k O~ p l e m A~
compléter	k O~ p l e t e
comportement	k O~ p O R t @ m A~
comporter	k O~ p O R t e
composant	k O~ p o z A~
composer	k O~ p o z e
composite	k O~ p o z i t
composition	k O~ p o z i s j O~
composé	k O~ p o z e
comprendre	k O~ p R A~ d R
compris	k O~ p R i
compromettre	k O~ p R O m E t R
compromis	k O~ p R O m i
compréhensible	k O~ p R e A~ s i b l
compréhensibles	k O~ p R e A~ s i b l
comptage	k O~ t a Z
compte	k O~ t
compter	k O~ t e
comptes	k O~ t
compteur	k O~ t 9 R
comptoir	k O~ t w a R
computer	k O~ p y t e
compère	k O~ p E R
compétent	k O~ p e t A~
compétition	k O~ p e t i s j O~
compétitivité	k O~ p e t i t i v i t e
comte	k O~ t
comète	k O m E t
comètes	k O m E t
comédie	k O m e d i
comédies	k O m e d i
con	k O~
concaténation	k O~ k a t e n a s j O~
concentrer	k O~ s A~ t R e
concept	k O~ s E p t
conception	k O~ s E p s j O~
concernant	k O~ s E R n A~
concerner	k O~ s E R n e
concerné	k O~ s E R n e
concert	k O~ s E R
concevoir	k O~ s @ v w a R
concierge	k O~ s j E R Z
conciliant	k O~ s i l j A~
concis	k O~ s i
conclu	k O~ k l y
conclure	k O~ k l y R
conclusion	k O~ k l y z j O~
concombre	k O~ k O~ b R
concordance	k O~ k O R d A~ s
concourant	k O~ k u R A~
concourent	k O~ k u R
concourir	k O~ k u R i R
concours	k O~ k u R
concourt	k O~ k u R
concouru	k O~ k u R y
concoururent	k O~ k u R y R
concret	k O~ k R E
concrétiser	k O~ k R e t i z e
concurremment	k O~ k y R a m A~
concurrence	k O~ k y R A~ s
concurrencé	k O~ k y R A~ s e
condamnation	k O~ d A n a s j O~
condamner	k O~ d A n e
condensateur	k O~ d A~ s a t 9 R
condensation	k O~ d A~ s a s j O~
condiments	k O~ d i m A~
condition	k O~ d i s j O~
conditionnel	k O~ d i s j O n E l
condoléances	k O~ d O l e A~ s
condom	k O~ d O~
conducteur	k O~ d y k t 2 R
conduire	k O~ d H i R
conduit	k O~ d H i
conduite	k O~ d H i t
condé	k O~ d e
confectionner	k O~ f E k s j O n e
confesse	k O~ f E s
confesseur	k O~ f E s 9 R
confession	k O~ f E s j O~
confessionnal	k O~ f E s j O n a l
confiance	k O~ f j A~ s
confident	k O~ f i d A~
confier	k O~ f j e
configurer	k O~ f i g y R e
confinait	k O~ f i n E
confine	k O~ f i n
confirmer	k O~ f i R m e
confiserie	k O~ f i z R i
confit	k O~ f i
confiture	k O~ f i t y R
conflit	k O~ f l i
confondre	k O~ f O~ d R
conforme	k O~ f O R m
conformer	k O~ f O R m e
conformément	k O~ f O R m e m A~
confort	k O~ f O R
confortable	k O~ f O R t a b l
conforter	k O~ f O R t e
confrontation	k O~ f R O~ t a s j O~
confrère	k O~ f R E R
confrères	k O~ f R E R
confucianisme	k O~ f y s j a n i z m
confus	k O~ f y
confuse	k O~ f y z
confusion	k O~ f y z j O~
confédération	k O~ f e d e R a s j O~
confédérations	k O~ f e d e R a s j O~
conférence	k O~ f e R A~ s
conférencier	k O~ f e R A~ s j e
conférenciers	k O~ f e R A~ s j e
conférencière	k O~ f e R A~ s j E R
congolais	k O~ g O l E
congolaise	k O~ g O l E z
congrès	k O~ g R E
congé	k O~ Z e
congélation	k O~ Z e l a s j O~
conifère	k O n i f E R
conifères	k O n i f E R
conjoint	k O~ Z w E~
conjointe	k O~ Z w E~ t
conjoints	k O~ Z w E~
conjonctif	k O~ Z O~ k t i f
conjonction	k O~ Z O~ k s j O~
conjonctivite	k O~ Z O~ k t i v i t
conjoncture	k O~ Z O~ k t y R
conjugaison	k O~ Z y g E z O~
conjugal	k O~ Z y g a l
conjugale	k O~ Z y g a l
conjugales	k O~ Z y g a l
conjuguer	k O~ Z y g e
connais	k O n E
connaissance	k O n E s A~ s
connaissances	k O n E s A~ s
connaisse	k O n E s
connaissent	k O n E s
connaisseur	k O n E s 9 R
connaître	k O n E t R
connecter	k O n E k t e
connexe	k O n E k s
connexion	k O n E k s j O~
connu	k O n y
connétable	k O n e t a b l
conquistador	k O~ k i s t a d O R
conquérir	k O~ k e R i R
conquête	k O~ k E t
consacrer	k O~ s a k R e
consanguinité	k O~ s A~ g i n i t e
consciemment	k O~ s j a m A~
conscience	k O~ s j A~ s
consciences	c O~ s j A~ s
conscient	k O~ s j A~
conseil	k O~ s E j
conseiller	k O~ s e j e
consensus	k O~ s E~ s y s
consent	k O~ s A~
consentement	k O~ s A~ t m A~
consenti	k O~ s A~ t i
consentir	k O~ s A~ t i R
conservatisme	k O~ s E R v a t i s m
conserver	k O~ s E R v e
considérable	k O~ s i d e R a b l
considération	k O~ s i d e R a s j O~
considérer	k O~ s i d e R e
consigne	k O~ s i J
consigné	k O~ s i J e
consister	k O~ s i s t e
consolation	k O~ s O l a s j O~
console	k O~ s O l
consoler	k O~ s O l e
consolider	k O~ s O l i d e
consommateur	k O~ s O m a t 9 R
consommation	k O~ s O m a s j O~
consommer	k O~ s O m e
consonne	k O~ s O n
consonnes	k O~ s O n
consort	k O~ s O R
conspiration	k O~ s p i R a s j O~
constamment	k O~ s t a m A~
constant	k O~ s t A~
constante	k O~ s t A~ t
constantes	k O~ s t A~ t
constants	k O~ s t A~
constat	k O~ s t a
constatation	k O~ s t a t a s j O~
constatations	k O~ s t a t a s j O~
constater	k O~ s t a t e
constats	k O~ s t a
constellation	k O~ s t E l a s j O~
constipation	k O~ s t i p a s j O~
constituer	k O~ s t i t H e
constitutif	k O~ s t i t y t i f
constitution	k O~ s t i t y s j O~
constitutive	k O~ s t i t y t i v
constructeur	k O~ s t R y k t 9 R
construction	k O~ s t R y k s j O~
constructivisme	k O~ s t R y k t i v i s m
construire	k O~ s t R H i R
consul	k O~ s y l
consulat	k O~ s y l a
consultant	k O~ s y l t A~
consulter	k O~ s y l t e
consumer	k O~ s y m e
consécration	k O~ s e k R a s j O~
consécutif	k O~ s e k y t i f
conséquemment	k O~ s e k a m A~
conséquence	k O~ s e k A~ s
conséquent	k O~ s e k A~
contact	k O~ t a k t
contacter	k O~ t a k t e
contamination	k O~ t a m i n a s j O~
conte	k O~ t
contemplation	k O~ t A~ p l a s j O~
contempler	k O~ t A~ p l e
contemporain	k O~ t A~ p O R E~
contemporains	k O~ t A~ p O R E~
conteneur	k O~ t n 9 R
contenir	k O~ t n i R
content	k O~ t A~
contente	k O~ t A~ t
contenter	k O~ t A~ t e
contentieux	k O~ t A~ s j 2
contenu	k O~ t n y
conter	k O~ t e
contestable	k O~ t E s t a b l
contestant	k O~ t E s t A~
contestation	k O~ t E s t a s j O~
conteste	k O~ t E s t
contestent	k O~ t E s t
contester	k O~ t E s t e
contesté	k O~ t E s t e
conteur	k O~ t 9 R
contexte	k O~ t E k s t
contextes	k O~ t E k s t
continent	k O~ t i n A~
contingent	k O~ t E~ Z A~
continu	k O~ t i n y
continue	k O~ t i n y
continuelle	k O~ t i n H E l m A~
continuellement	k O~ t i n H E l m A~
continuer	k O~ t i n H e
continues	k O~ t i n y
continué	k O~ t i n H e
contraception	k O~ t R a s E p s j O~
contracter	k O~ t R a k t e
contraction	k O~ t R a k s j O~
contradiction	k O~ t R a d i k s j O~
contradictoire	k O~ t R a d i k t w a R
contraindre	k O~ t R E~ d R
contraire	k O~ t R E R
contrarié	k O~ t R a R j e
contrat	k O~ t R a
contre	k O~ t R
contredire	k O~ t R @ d i R
contremaître	k O~ t R @ m E t R
contrepartie	k O~ t R @ p a R t i
contrepied	k O~ t R @ p j e
contreplaqué	k O~ t R @ p l a k e
contrer	k O~ t R e
contretemps	k O~ t R @ t A~
contribuer	k O~ t R i b H e
contributeur	k O~ t R i b y t 9 R
controverses	k O~ t R o v E R s
contrée	k O~ t R e
contrôlable	k O~ t R o l a b l
contrôle	k O~ t R o l
contrôler	k O~ t R O l e
contrôleur	k O~ t R o l 9 R
convaincant	k O~ v E~ k A~
convaincre	k O~ v E~ k R
convenable	k O~ v n a b l
convenablement	k O~ v n a b l @ m A~
convenir	k O~ v n i R
convention	k O~ v A~ s j O~
converge	k O~ v E R Z
convergent	k O~ v E R Z
convers	k O~ v E R
conversation	k O~ v E R s a s j O~
conversations	k O~ v E R s a s j O~
convertible	k O~ v E R t i b l
convertir	k O~ v E R t i R
convexe	k O~ v E k s
convexes	k O~ v E k s
conviction	k O~ v i k s j O~
convictions	k O~ v i k s j O~
convient	k O~ v j E~
convivial	k O~ v i v j a l
conviviale	k O~ v i v j a l
convivialité	k O~ v i v j a l i t e
convoitise	k O~ v w a t i z
convoitises	k O~ v w a t i z
convoque	k O~ v O k
convoquer	k O~ v O k e
convoqué	k O~ v O k e
convoyeur	k O~ v w a j 9 R
cookie	k u k i
cool	k u l
cooptation	k O O p t a s j O~
coopératif	k O O p e R a t i f
coopération	k O O p e R a s j O~
coopérations	k O O p e R a s j O~
coopérer	k O O p e R e
coordinateur	k O O R d i n a t 9 R
coordination	k O O R d i n a s j O~
coordinatrice	k O O R d i n a t R i s
coordonné	k o o R d O n e
cop	k O p
copain	k O p E~
copeau	k O p o
copie	k O p i
copier	k O p j e
copine	k O p i n
coppa	k O p a
copte	k O p t
coq	k O k
coque	k O k
coquelicot	k O k l i k o
coqueluche	k O k l y S
coquette	k O k E t
coquillage	k O k i j a Z
coquillages	k O k i j a Z
coquille	k O k i j
cor	k O R
corail	k O R a j
coran	k O R A~
coranique	k O R A~ i k
coraniques	k O R A~ i k
coraux	k O R o
corbeau	k O R b o
corbeaux	k O R b o
corbeille	k O R b E j
corda	k O R d a
corde	k O R d
corderie	k O R d @ R i
cordier	k O R d j e
cordonnier	k O R d O n j e
cordée	k O R d e
coriace	k O R j a s
coriandre	k O R j A~ d R
corinthien	k O R E~ t j E~
cormoran	k O R m O R A~
corne	k O R n
corneille	k O R n E j
cornemuse	k O R n @ m y z
corner	k O R n 9 R
cornet	k O R n E
cornette	k O R n E t
corniche	k O R n i S
cornouiller	k O R n u j e
cornu	k O R n y
corné	k O R n e
cornée	k O R n e
corolle	k O R O l
coronaire	k O R O n E R
corp	k O R p
corps	k O R
corpus	k O R p y s
correct	k O R E k t
correcte	k O R E k t
correctement	k O R E k t @ m A~
correction	k O R E k s j O~
correspondance	k O R E s p O~ d A~ s
correspondant	k O R E s p O~ d A~
correspondre	k O R E s p O~ d R
corrida	k O R i d a
corridor	k O R i d O R
corriger	k O R i Z e
corrompre	k O R O~ p R
corrompu	k O R O~ p y
corrosion	k O R O z j O~
corrélation	k O R e l a s j O~
corrélations	k O R e l a s j O~
corsaire	k O R s E R
corse	k O R s
corset	k O R s E
cortège	k O R t E Z
corvette	k O R v E t
corvée	k O R v e
coréen	k O R e E~
coréenne	k O R e E n
cosinus	k O s i n y s
cosmonaute	k O s m O n O t
cosmos	k O s m o s
cosmétique	k O s m e t i k
costume	k O s t y m
cotation	k O t a s j O~
cotations	k O t a s j O~
coteau	k O t o
cotisation	k O t i z a s j O~
coton	k O t O~
cotonneux	k O t O n 2
cottage	k O t a Z
cotte	k O t
cou	k u
couchant	k u S A~
couche	k u S
coucher	k u S e
coucou	k u k u
coude	k u d
coudre	k u d R
coudée	k u d e
couler	k u l e
couleur	k u l 9 R
couleuvre	k u l 9 v R
couleuvres	k u l 9 v R
coulisse	k u l i s
couloir	k u l w a R
coulomb	k u l O~
coulée	k u l e
country	k 9~ t R i
coup	k u
coupable	k u p a b l
coupables	k u p a b l
coupant	k u p A~
coupe	k u p
couper	k u p e
couple	k u p l
couplet	k u p l E
coupole	k u p O l
coupon	k u p O~
cour	k u R
courage	k u R a Z
courageux	k u R a Z 2
couramment	k u R a m A~
courant	k u R A~
courbe	k u R b
courbure	k u R b y R
courent	k u R
coureur	k u R 9 R
courge	k u R Z
courir	k u R i R
couronne	k u R O n
couronner	k u R O n e
courre	k u R
courriel	k u R j E l
courrier	k u R j e
courroie	k u R w a
cours	k u R
course	k u R s
coursier	k u R s j e
court	k u R
courtier	k u R t j e
courtine	k u R t i n
courtisan	k u R t i z A~
courtois	k u R t w a
courts	k u R
couscous	k u s k u s
cousin	k u z E~
cousine	k u z i n
coussin	k u s E~
cousu	k u z y
cout	k u
couteau	k u t o
coutume	k u t y m
couture	k u t y R
couturier	k u t y R j e
couturière	k u t y R j E R
couvent	k u v A~
couvercle	k u v E R k l
couvert	k u v E R
couverture	k u v E R t y R
couvrir	k u v R i R
covariance	k O v a R j A~ s
covoiturage	k O v w a t y R a Z
cowboy	k a w b O j
coyote	k O j O t
coïncidence	k O E~ s i d A~ s
coïncider	k O E~ s i d e
coït	k O i t
coût	k u
coûter	k u t e
coûteux	k u t 2
crabe	k R a b
cracher	k R a S e
craie	k R E
craindre	k R E~ d R
crainte	k R E~ t
cramer	k R a m e
cramoisi	k R a m w a z i
crampons	k R A~ p O~
cran	k R A~
crapaud	k R a p o
crash	k R a S
cratère	k R a t E R
cravate	k R a v a t
crayon	k R E j O~
crayons	k R E j O~
cresson	k R @ s O~
creusement	k R 2 z m A~
creuser	k R 2 z e
creuset	k R 2 z E
creux	k R 2
crevasse	k R @ v a s
crevette	k R @ v E t
cri	k R i
criant	k R i j A~
crible	k R i b l
cricket	k R i k E t
crie	k R i
crier	k R i j e
crime	k R i m
criminalité	k R i m i n a l i t e
criminel	k R i m i n E l
criminologie	k R i m i n O l O Z i
crin	k R E~
crinière	k R i n j E R
crique	k R i k
criquet	k R i k E
cris	k R i
crise	k R i z
cristal	k R i s t a l
cristallin	k R i s t a l E~
cristaux	k R i s t o
critique	k R i t i k
critiquer	k R i t i k e
criée	k R i j e
croate	k R O a t
croc	k R o
croche	k R O S
crochet	k R O S E
crocodile	k R O k O d i l
crocus	k R O k y s
croire	k R w a R
crois	k R w a
croisade	k R w a z a d
croisement	k R w a z m A~
croiser	k R w a z e
croiseur	k R w a z 9 R
croisillon	k R w a z i j O~
croisière	k R w a z j E R
croissance	k R w a s A~ s
croissant	k R w a s A~
croisée	k R w a z e
croix	k R w a
croquer	k R O k e
croquis	k R O k i
crosne	k R o n
cross	k R O s
crosse	k R O s
crotale	k R O t a l
croupe	k R u p
croupion	k R u p j O~
croyance	k R w A j A~ s
croît	k R w a
croître	k R w a t R
croûte	k R u t
croûtes	k R u t
cru	k R y
cruauté	k R y o t e
cruche	k R y S
crucifix	k R y s i f i
crucifixion	k R y s i f i k s j O~
crudités	k R y d i t e
crue	k R y
cruel	k R y E l
cruelle	k R y E l
cruelles	k R y E l
cruels	k R y E l
crustacé	k R y s t a s e
crustacés	k R y s t a s e
cryptanalyse	k R i p t a n a l i z
crypte	k R i p t
cryptes	k R i p t
cryptique	k R i p t i k
crâne	k R A n
crânien	k R A n j E~
crèche	k R E S
crème	k R E m
crèmes	k R E m
créa	k R e a
créance	k R e A~ s
créancier	k R e A~ s j e
créateur	k R e a t 9 R
créatif	k R e a t i f
créatifs	k R e a t i f
création	k R e a s j O~
créative	k R e a t i v
créatives	k R e a t i v
créativité	k R e a t i v i t e
créature	k R e a t y R
crédible	k R e d i b l
crédit	k R e d i
crée	k R e
créent	k R e
créer	k R e e
crémaillère	k R e m a j E R
créole	k R e O l
crépuscule	k R e p y s k y l
créèrent	k R e E R
crêpe	k R E p
crêpes	k R E p
crête	k R E t
cuba	k y b a
cubain	k y b E~
cube	k y b
cubes	k y b
cubisme	k y b i s m
cubiste	k y b i s t
cueillette	k 9 j E t
cueillir	k 9 j i R
cuillère	k H i j E R
cuir	k H i R
cuirasse	k H i R a s
cuirassé	k H i R a s e
cuire	k H i R
cuirs	k H i R
cuisant	k H i z A~
cuisine	k H i z i n
cuisiner	k H i z i n e
cuisinier	k H i z i n j e
cuisinière	k H i z i n j E R
cuisse	k H i s
cuisson	k H i s O~
cuit	k H i
cuite	k H i t
cuivre	k H i v R
cuivré	k H i v R e
cul	k y
culasse	k y l a s
culinaire	k y l i n E R
culinaires	k y l i n E R
culminant	k y l m i n A~
culmine	k y l m i n e
culot	k y l o
culotte	k y l O t
culpabilité	k y l p a b i l i t e
culte	k y l t
cultivateur	k y l t i v a t 9 R
cultiver	k y l t i v e
cultivé	k y l t i v e
culture	k y l t y R
cumin	k y m E~
cumulant	k y m y l A~
cumule	k y m y l
cumulent	k y m y l
cumuler	k y m y l e
cumulé	k y m y l e
cupidité	k y p i d i t e
curatif	k y R a t i f
curative	k y R a t i v
curatives	k y R a t i f
curaçao	k y R a s o
curcuma	k y R k y m a
cure	k y R
curie	k y R i
curieux	k y R j 2
curiosité	k y R j o z i t e
curiosités	k y R j o z i t e
curleur	k 9 R l 9 R
curling	k 9 R l i N
curry	k y R i
curseur	k y R s 9 R
cursive	k y R s i v
cursus	k y R s y s
curé	k y R e
cuticule	k y t i k y l
cuve	k y v
cuvette	k y v E t
cyan	s j A~
cyanure	s j a n y R
cybernétique	s i b E R n e t i k
cycle	s i k l
cyclique	s i k l i k
cycliques	s i k l i k
cycliste	s i k l i s t
cyclone	s i k l o n
cyclope	s i k l O p
cygne	s i J
cygnes	s i J
cylindre	s i l E~ d R
cymbales	s E~ b a l
cynique	s i n i k
cynisme	s i n i s m
cyprès	s i p R E
câblage	k A b l a Z
câble	k A b l
cèdre	s E d R
cécité	s e s i t e
céder	s e d e
cédille	s e d i j
cégep	s e Z E p
céleri	s E l R i
céleste	s e l E s t
célestes	s e l E s t
célibataire	s e l i b a t E R
célèbre	s e l E b R
célèbres	s e l E b R
célébrer	s e l e b R e
céramique	s e R a m i k
céramiques	s e R a m i k
céréale	s e R e a l
cérébral	s e R e b R a l
cérébrale	s e R e b R a l
cérébrales	s e R e b R a l
cérébraux	s e R e b R o
cérémonial	s e R e m O n j a l
cérémonie	s e R e m O n i
cérémonies	s e R e m O n i
césium	s e z j O m
cétacés	s e t a s e
cétone	s e t O n
côlon	k o l O~
cône	k o n
côte	k o t
côtier	k o t j e
côtière	k o t j E R
côtoyer	k o t w a j e
côté	k o t e
d'	d
d'abord	d a b O R
d'accord	d a k O R
d'affilée	d a f i l e
d'ailleurs	d a j 9 R
d'après	d a p R E
d'aucuns	d o k 9~
d'aventure	d a v A~ t y R
d'avoir	d a v w a R
d'emblée	d A~ b l e
d'en	d A~
d'habitude	d a b i t y d
d'ordinaire	d O R d i n E R
d'où	d u
d'un	d 9~
